,wiki_content_only,summary_only,wiki_content_250_mean,wiki_content_250_exp,wiki_content_500_mean,wiki_content_1000_exp,summary_plus
BAAI/bge-small-en-v1.5,0.109799,0.118635,0.11099,0.112121,0.111717,0.113212,0.113735
BAAI/bge-large-en-v1.5,0.107028,0.122169,0.115677,0.118869,0.112364,0.113697,0.127309
sentence-transformers/all-mpnet-base-v2,0.118795,0.112209,0.122424,0.112121,0.120364,0.119798,0.114096
nomic classification,0.096506,0.138032,0.11697,0.11996,0.115192,0.121293,0.138193
nomic clustering,0.096185,0.132771,0.117333,0.115919,0.114828,0.118586,0.130522
nomic search_query,0.087631,0.128193,0.105293,0.106303,0.104404,0.107677,0.126988
nomic search_document,0.086104,0.122329,0.104162,0.103192,0.103111,0.105495,0.12249
