,wiki_content_only,summary_only,wiki_content_250_first,wiki_content_250_mean,wiki_content_250_exp,wiki_content_500_first,wiki_content_500_mean,wiki_content_500_exp,wiki_content_1000_first,wiki_content_1000_mean,wiki_content_1000_exp,summary_plus
BAAI/bge-small-en-v1.5,0.036841,0.041492,0.034055,0.058719,0.047362,0.036323,0.050579,0.05055,0.036394,0.040809,0.050731,0.041428
BAAI/bge-large-en-v1.5,0.03718,0.045772,0.029494,0.057649,0.051567,0.031072,0.045375,0.050144,0.033023,0.027927,0.04171,0.05138
sentence-transformers/all-mpnet-base-v2,0.045547,0.04507,0.02692,0.061963,0.046467,0.034081,0.055709,0.046303,0.042382,0.054709,0.0502,0.049855
nomic classification,-0.007615,0.077546,0.048073,0.066378,0.060881,0.051212,0.060139,0.059528,0.051027,0.056935,0.057298,0.081591
nomic clustering,-0.018137,0.068625,0.044128,0.065715,0.054726,0.045938,0.058488,0.053448,0.04714,0.055569,0.053967,0.069737
nomic search_query,-0.021351,0.054863,0.035485,0.048922,0.045343,0.037133,0.0418,0.043428,0.035564,0.036247,0.039956,0.057699
nomic search_document,-0.019547,0.047128,0.028377,0.042925,0.04209,0.031377,0.035415,0.040955,0.030649,0.028563,0.036258,0.048393
